account_count,average_holding_bars,average_loss,average_win,best_symbol,best_timeframe,cohort_id,cohort_label,cost_tier,final_equity,grain,initial_capital,max_consecutive_losses,max_drawdown,max_drawdown_percent,net_profit,profit_factor,quality_flag,return_percent,status,strategy_id,symbol,timeframe,trade_count,win_rate,worst_symbol,worst_timeframe
1,42.3535,-482.07,691.29,ORCL,1d,all_m12_24,原小范围全样本,baseline,92596.48,strategy_timeframe_symbol,100000.00,9,7403.52,7.4035,-7403.52,0.5483,normal_density_review,-7.4035,completed_capital_test,M10-PA-004,ORCL,1d,47,0.2766,ORCL,1d
1,42.3535,-493.70,677.84,ORCL,1d,all_m12_24,原小范围全样本,stress_high,92026.16,strategy_timeframe_symbol,100000.00,9,7973.84,7.9738,-7973.84,0.5250,normal_density_review,-7.9738,completed_capital_test,M10-PA-004,ORCL,1d,47,0.2766,ORCL,1d
1,42.3535,-484.98,687.92,ORCL,1d,all_m12_24,原小范围全样本,stress_low,92453.58,strategy_timeframe_symbol,100000.00,9,7546.42,7.5464,-7546.42,0.5423,normal_density_review,-7.5464,completed_capital_test,M10-PA-004,ORCL,1d,47,0.2766,ORCL,1d
1,44.8543,-482.67,849.92,PANW,1d,all_m12_24,原小范围全样本,baseline,103966.21,strategy_timeframe_symbol,100000.00,4,2830.97,2.8310,3966.21,1.3043,normal_density_review,3.9662,completed_capital_test,M10-PA-004,PANW,1d,47,0.4255,PANW,1d
1,44.8543,-495.30,835.72,PANW,1d,all_m12_24,原小范围全样本,stress_high,103341.35,strategy_timeframe_symbol,100000.00,4,3007.92,3.0079,3341.35,1.2499,normal_density_review,3.3414,completed_capital_test,M10-PA-004,PANW,1d,47,0.4255,PANW,1d
1,44.8543,-485.84,846.36,PANW,1d,all_m12_24,原小范围全样本,stress_low,103809.65,strategy_timeframe_symbol,100000.00,4,2875.23,2.8752,3809.65,1.2904,normal_density_review,3.8097,completed_capital_test,M10-PA-004,PANW,1d,47,0.4255,PANW,1d
1,48.1818,-473.92,772.29,PLTR,1d,all_m12_24,原小范围全样本,baseline,98297.31,strategy_timeframe_symbol,100000.00,6,4431.95,4.4320,-1702.69,0.7605,normal_density_review,-1.7027,completed_capital_test,M10-PA-004,PLTR,1d,22,0.3182,PLTR,1d
1,48.1818,-480.22,764.39,PLTR,1d,all_m12_24,原小范围全样本,stress_high,98147.33,strategy_timeframe_symbol,100000.00,6,4549.20,4.5492,-1852.67,0.7428,normal_density_review,-1.8527,completed_capital_test,M10-PA-004,PLTR,1d,22,0.3182,PLTR,1d
1,48.1818,-475.49,770.32,PLTR,1d,all_m12_24,原小范围全样本,stress_low,98259.79,strategy_timeframe_symbol,100000.00,6,4461.28,4.4613,-1740.21,0.7560,normal_density_review,-1.7402,completed_capital_test,M10-PA-004,PLTR,1d,22,0.3182,PLTR,1d
1,43.9278,-470.38,832.92,QCOM,1d,all_m12_24,原小范围全样本,baseline,92590.86,strategy_timeframe_symbol,100000.00,7,7409.14,7.4091,-7409.14,0.5743,normal_density_review,-7.4091,completed_capital_test,M10-PA-004,QCOM,1d,49,0.2449,QCOM,1d
1,43.9278,-483.04,818.73,QCOM,1d,all_m12_24,原小范围全样本,stress_high,91952.41,strategy_timeframe_symbol,100000.00,7,8047.59,8.0476,-8047.59,0.5497,normal_density_review,-8.0476,completed_capital_test,M10-PA-004,QCOM,1d,49,0.2449,QCOM,1d
1,43.9278,-473.55,829.36,QCOM,1d,all_m12_24,原小范围全样本,stress_low,92430.85,strategy_timeframe_symbol,100000.00,7,7569.15,7.5692,-7569.15,0.5680,normal_density_review,-7.5692,completed_capital_test,M10-PA-004,QCOM,1d,49,0.2449,QCOM,1d
1,29.6695,-421.76,1000.91,QQQ,1d,all_m12_24,原小范围全样本,baseline,98571.17,strategy_timeframe_symbol,100000.00,8,4029.61,4.0296,-1428.83,0.8306,normal_density_review,-1.4288,completed_capital_test,M10-PA-004,QQQ,1d,27,0.2593,QQQ,1d
1,29.6695,-449.38,969.94,QQQ,1d,all_m12_24,原小范围全样本,stress_high,97801.95,strategy_timeframe_symbol,100000.00,8,4527.08,4.5271,-2198.05,0.7554,normal_density_review,-2.1981,completed_capital_test,M10-PA-004,QQQ,1d,27,0.2593,QQQ,1d
1,29.6695,-428.69,993.16,QQQ,1d,all_m12_24,原小范围全样本,stress_low,98378.34,strategy_timeframe_symbol,100000.00,8,4154.45,4.1545,-1621.66,0.8109,normal_density_review,-1.6217,completed_capital_test,M10-PA-004,QQQ,1d,27,0.2593,QQQ,1d
1,55.3808,-451.54,736.14,SLV,1d,all_m12_24,原小范围全样本,baseline,104504.48,strategy_timeframe_symbol,100000.00,4,2764.86,2.7649,4504.48,1.4750,normal_density_review,4.5045,completed_capital_test,M10-PA-004,SLV,1d,40,0.4750,SLV,1d
1,55.3808,-460.71,718.65,SLV,1d,all_m12_24,原小范围全样本,stress_high,103979.48,strategy_timeframe_symbol,100000.00,4,3021.00,3.0210,3979.48,1.4113,normal_density_review,3.9795,completed_capital_test,M10-PA-004,SLV,1d,40,0.4750,SLV,1d
1,55.3808,-453.83,731.76,SLV,1d,all_m12_24,原小范围全样本,stress_low,104372.99,strategy_timeframe_symbol,100000.00,4,2828.99,2.8290,4372.99,1.4588,normal_density_review,4.3730,completed_capital_test,M10-PA-004,SLV,1d,40,0.4750,SLV,1d
1,42.2586,-447.54,742.42,SMH,1d,all_m12_24,原小范围全样本,baseline,93245.10,strategy_timeframe_symbol,100000.00,7,8395.99,8.3960,-6754.90,0.5688,normal_density_review,-6.7549,completed_capital_test,M10-PA-004,SMH,1d,47,0.2553,SMH,1d
1,42.2586,-462.20,722.68,SMH,1d,all_m12_24,原小范围全样本,stress_high,92495.09,strategy_timeframe_symbol,100000.00,7,9117.56,9.1176,-7504.91,0.5361,normal_density_review,-7.5049,completed_capital_test,M10-PA-004,SMH,1d,47,0.2553,SMH,1d
1,42.2586,-451.22,737.47,SMH,1d,all_m12_24,原小范围全样本,stress_low,93057.05,strategy_timeframe_symbol,100000.00,7,8576.89,8.5769,-6942.95,0.5604,normal_density_review,-6.9430,completed_capital_test,M10-PA-004,SMH,1d,47,0.2553,SMH,1d
1,44.8983,-467.60,744.86,SNOW,1d,all_m12_24,原小范围全样本,baseline,96416.69,strategy_timeframe_symbol,100000.00,7,3824.14,3.8241,-3583.31,0.6517,normal_density_review,-3.5833,completed_capital_test,M10-PA-004,SNOW,1d,31,0.2903,SNOW,1d
1,44.8983,-480.80,736.76,SNOW,1d,all_m12_24,原小范围全样本,stress_high,96053.22,strategy_timeframe_symbol,100000.00,7,4115.02,4.1150,-3946.78,0.6269,normal_density_review,-3.9468,completed_capital_test,M10-PA-004,SNOW,1d,31,0.2903,SNOW,1d
1,44.8983,-470.90,742.84,SNOW,1d,all_m12_24,原小范围全样本,stress_low,96325.71,strategy_timeframe_symbol,100000.00,7,3874.60,3.8746,-3674.29,0.6453,normal_density_review,-3.6743,completed_capital_test,M10-PA-004,SNOW,1d,31,0.2903,SNOW,1d
1,33.0705,-478.46,761.56,SOXX,1d,all_m12_24,原小范围全样本,baseline,93154.28,strategy_timeframe_symbol,100000.00,9,9612.60,9.6126,-6845.72,0.5912,normal_density_review,-6.8457,completed_capital_test,M10-PA-004,SOXX,1d,48,0.2708,SOXX,1d
1,33.0705,-494.05,739.26,SOXX,1d,all_m12_24,原小范围全样本,stress_high,92318.66,strategy_timeframe_symbol,100000.00,9,10374.29,10.3743,-7681.34,0.5558,normal_density_review,-7.6813,completed_capital_test,M10-PA-004,SOXX,1d,48,0.2708,SOXX,1d
1,33.0705,-482.37,755.97,SOXX,1d,all_m12_24,原小范围全样本,stress_low,92944.69,strategy_timeframe_symbol,100000.00,9,9803.63,9.8036,-7055.31,0.5821,normal_density_review,-7.0553,completed_capital_test,M10-PA-004,SOXX,1d,48,0.2708,SOXX,1d
1,45.7846,-507.25,992.25,SPY,1d,all_m12_24,原小范围全样本,baseline,98963.27,strategy_timeframe_symbol,100000.00,3,1526.83,1.5268,-1036.73,0.4890,normal_density_review,-1.0367,completed_capital_test,M10-PA-004,SPY,1d,5,0.2000,SPY,1d
1,45.7846,-536.31,981.26,SPY,1d,all_m12_24,原小范围全样本,stress_high,98836.02,strategy_timeframe_symbol,100000.00,3,1634.49,1.6345,-1163.98,0.4574,normal_density_review,-1.1640,completed_capital_test,M10-PA-004,SPY,1d,5,0.2000,SPY,1d
1,45.7846,-514.51,989.50,SPY,1d,all_m12_24,原小范围全样本,stress_low,98931.45,strategy_timeframe_symbol,100000.00,3,1553.75,1.5538,-1068.55,0.4808,normal_density_review,-1.0686,completed_capital_test,M10-PA-004,SPY,1d,5,0.2000,SPY,1d
1,27.7660,-461.67,770.75,SQQQ,1d,all_m12_24,原小范围全样本,baseline,88931.41,strategy_timeframe_symbol,100000.00,11,12348.27,12.3483,-11068.59,0.3853,normal_density_review,-11.0686,completed_capital_test,M10-PA-004,SQQQ,1d,48,0.1875,SQQQ,1d
1,27.7660,-469.42,760.51,SQQQ,1d,all_m12_24,原小范围全样本,stress_high,88537.06,strategy_timeframe_symbol,100000.00,11,12730.77,12.7308,-11462.94,0.3739,normal_density_review,-11.4629,completed_capital_test,M10-PA-004,SQQQ,1d,48,0.1875,SQQQ,1d
