variant_id,variant_title,symbol,initial_capital,final_equity,net_profit,return_percent,trade_count,win_rate,profit_factor,max_drawdown_percent,average_holding_bars,max_consecutive_losses
follow_through_confirm,只加1-2根K线跟进确认,XLU,100000.00,101476.16,1476.16,1.48,480,38.75,1.01,16.58,9.82,16
follow_through_confirm,只加1-2根K线跟进确认,XLC,100000.00,91392.82,-8607.18,-8.61,224,35.27,0.88,12.31,9.79,9
follow_through_confirm,只加1-2根K线跟进确认,XLB,100000.00,84901.31,-15098.69,-15.10,448,34.60,0.89,19.93,9.54,14
follow_through_confirm,只加1-2根K线跟进确认,SMH,100000.00,102396.84,2396.84,2.40,409,35.94,1.02,16.80,8.61,18
follow_through_confirm,只加1-2根K线跟进确认,SOXX,100000.00,90994.90,-9005.10,-9.01,480,35.42,0.94,22.72,8.73,27
follow_through_confirm,只加1-2根K线跟进确认,TQQQ,100000.00,99782.00,-218.00,-0.22,513,36.26,1.00,11.75,9.38,12
follow_through_confirm,只加1-2根K线跟进确认,SQQQ,100000.00,105107.16,5107.16,5.11,505,38.61,1.03,9.86,9.55,14
follow_through_confirm,只加1-2根K线跟进确认,GLD,100000.00,114980.84,14980.84,14.98,322,38.82,1.16,12.10,8.45,15
follow_through_confirm,只加1-2根K线跟进确认,SLV,100000.00,115149.45,15149.45,15.15,278,41.73,1.20,10.92,9.55,11
follow_through_confirm,只加1-2根K线跟进确认,USO,100000.00,111025.88,11025.88,11.03,404,39.60,1.10,8.79,9.48,13
follow_through_confirm,只加1-2根K线跟进确认,TLT,100000.00,59372.44,-40627.56,-40.63,384,29.43,0.69,40.70,8.20,25
follow_through_confirm,只加1-2根K线跟进确认,HYG,100000.00,81386.24,-18613.76,-18.61,512,34.57,0.89,26.41,9.19,12
follow_through_confirm,只加1-2根K线跟进确认,LQD,100000.00,80858.60,-19141.40,-19.14,413,32.20,0.86,24.29,8.61,18
follow_through_confirm,只加1-2根K线跟进确认,EEM,100000.00,88001.06,-11998.94,-12.00,379,33.51,0.90,23.50,7.87,16
follow_through_confirm,只加1-2根K线跟进确认,EFA,100000.00,96140.84,-3859.16,-3.86,392,36.48,0.97,16.82,8.67,11
follow_through_confirm,只加1-2根K线跟进确认,ARKK,100000.00,100782.39,782.39,0.78,360,35.83,1.01,12.79,8.94,12
follow_through_confirm,只加1-2根K线跟进确认,AAPL,100000.00,129223.53,29223.53,29.22,467,40.90,1.22,6.87,9.50,17
follow_through_confirm,只加1-2根K线跟进确认,MSFT,100000.00,79430.99,-20569.01,-20.57,416,33.41,0.84,25.65,9.57,22
follow_through_confirm,只加1-2根K线跟进确认,NVDA,100000.00,100652.84,652.84,0.65,453,37.53,1.00,22.15,9.42,15
follow_through_confirm,只加1-2根K线跟进确认,AMZN,100000.00,109589.54,9589.54,9.59,461,38.18,1.07,10.94,9.36,11
follow_through_confirm,只加1-2根K线跟进确认,GOOGL,100000.00,89135.81,-10864.19,-10.86,429,36.13,0.92,21.11,9.45,16
follow_through_confirm,只加1-2根K线跟进确认,GOOG,100000.00,79897.19,-20102.81,-20.10,336,33.04,0.81,25.61,9.38,12
follow_through_confirm,只加1-2根K线跟进确认,META,100000.00,95646.31,-4353.69,-4.35,340,36.18,0.96,12.43,10.03,10
follow_through_confirm,只加1-2根K线跟进确认,TSLA,100000.00,95214.29,-4785.71,-4.79,408,35.78,0.96,18.51,9.66,11
follow_through_confirm,只加1-2根K线跟进确认,AVGO,100000.00,82408.15,-17591.85,-17.59,426,35.45,0.87,21.25,9.65,12
follow_through_confirm,只加1-2根K线跟进确认,AMD,100000.00,107216.74,7216.74,7.22,431,37.82,1.06,10.54,9.13,19
follow_through_confirm,只加1-2根K线跟进确认,INTC,100000.00,116724.31,16724.31,16.72,435,40.46,1.13,12.69,9.42,10
follow_through_confirm,只加1-2根K线跟进确认,MU,100000.00,99891.90,-108.10,-0.11,420,36.43,1.00,18.31,8.90,10
follow_through_confirm,只加1-2根K线跟进确认,QCOM,100000.00,78856.97,-21143.03,-21.14,379,34.04,0.82,31.82,9.43,21
follow_through_confirm,只加1-2根K线跟进确认,ORCL,100000.00,91529.22,-8470.78,-8.47,404,34.65,0.93,23.52,9.32,12
follow_through_confirm,只加1-2根K线跟进确认,CRM,100000.00,67867.04,-32132.96,-32.13,408,31.37,0.76,37.92,9.85,17
follow_through_confirm,只加1-2根K线跟进确认,ADBE,100000.00,98716.75,-1283.25,-1.28,446,36.77,0.99,13.63,9.78,13
follow_through_confirm,只加1-2根K线跟进确认,NOW,100000.00,83753.97,-16246.03,-16.25,373,33.24,0.86,27.22,9.09,23
follow_through_confirm,只加1-2根K线跟进确认,SNOW,100000.00,82757.51,-17242.49,-17.24,142,30.28,0.64,22.58,8.84,16
follow_through_confirm,只加1-2根K线跟进确认,PLTR,100000.00,95919.16,-4080.84,-4.08,170,36.47,0.92,8.41,9.93,11
follow_through_confirm,只加1-2根K线跟进确认,PANW,100000.00,96399.53,-3600.47,-3.60,367,36.78,0.97,11.87,9.88,10
context_signal_quality,行情背景 + 信号K质量,SPY,100000.00,113180.21,13180.21,13.18,333,37.84,1.13,7.77,4.90,16
context_signal_quality,行情背景 + 信号K质量,QQQ,100000.00,111606.18,11606.18,11.61,366,37.16,1.10,8.80,5.15,10
context_signal_quality,行情背景 + 信号K质量,IWM,100000.00,78597.48,-21402.52,-21.40,336,30.95,0.81,25.90,5.14,12
context_signal_quality,行情背景 + 信号K质量,DIA,100000.00,112999.62,12999.62,13.00,318,38.05,1.13,8.85,5.15,10
context_signal_quality,行情背景 + 信号K质量,VTI,100000.00,111956.16,11956.16,11.96,332,38.25,1.12,11.55,5.04,11
context_signal_quality,行情背景 + 信号K质量,VOO,100000.00,112886.63,12886.63,12.89,342,37.72,1.12,6.97,4.76,9
context_signal_quality,行情背景 + 信号K质量,IVV,100000.00,120754.59,20754.59,20.75,360,39.44,1.19,6.76,4.62,14
context_signal_quality,行情背景 + 信号K质量,XLK,100000.00,122484.14,22484.14,22.48,342,39.18,1.22,6.93,5.07,9
context_signal_quality,行情背景 + 信号K质量,XLF,100000.00,111102.99,11102.99,11.10,283,37.81,1.13,13.37,5.21,15
context_signal_quality,行情背景 + 信号K质量,XLE,100000.00,94461.55,-5538.45,-5.54,293,33.45,0.94,11.25,5.25,10
context_signal_quality,行情背景 + 信号K质量,XLV,100000.00,120368.07,20368.07,20.37,316,39.24,1.21,9.21,5.58,8
context_signal_quality,行情背景 + 信号K质量,XLY,100000.00,101841.45,1841.45,1.84,337,35.31,1.02,14.27,4.91,12
context_signal_quality,行情背景 + 信号K质量,XLI,100000.00,101706.79,1706.79,1.71,297,34.68,1.02,14.00,4.77,23
context_signal_quality,行情背景 + 信号K质量,XLP,100000.00,101705.74,1705.74,1.71,300,35.00,1.02,11.54,5.35,14
context_signal_quality,行情背景 + 信号K质量,XLU,100000.00,120311.62,20311.62,20.31,330,38.79,1.20,8.55,5.28,9
context_signal_quality,行情背景 + 信号K质量,XLC,100000.00,104682.38,4682.38,4.68,150,38.00,1.10,4.34,5.04,9
context_signal_quality,行情背景 + 信号K质量,XLB,100000.00,104097.45,4097.45,4.10,306,35.95,1.04,13.40,5.04,13
context_signal_quality,行情背景 + 信号K质量,SMH,100000.00,93209.79,-6790.21,-6.79,280,34.64,0.93,13.09,4.44,13
context_signal_quality,行情背景 + 信号K质量,SOXX,100000.00,106510.43,6510.43,6.51,326,35.89,1.06,13.00,4.33,11
context_signal_quality,行情背景 + 信号K质量,TQQQ,100000.00,108908.51,8908.51,8.91,359,36.77,1.08,9.08,4.97,10
context_signal_quality,行情背景 + 信号K质量,SQQQ,100000.00,107043.79,7043.79,7.04,357,36.69,1.06,11.75,5.15,11
context_signal_quality,行情背景 + 信号K质量,GLD,100000.00,125350.94,25350.94,25.35,234,43.16,1.39,4.59,5.12,9
context_signal_quality,行情背景 + 信号K质量,SLV,100000.00,122521.98,22521.98,22.52,204,45.10,1.41,5.52,5.26,11
context_signal_quality,行情背景 + 信号K质量,USO,100000.00,113656.46,13656.46,13.66,279,39.07,1.16,5.44,4.56,8
context_signal_quality,行情背景 + 信号K质量,TLT,100000.00,82327.77,-17672.23,-17.67,272,31.62,0.81,21.09,4.69,14
context_signal_quality,行情背景 + 信号K质量,HYG,100000.00,104898.69,4898.69,4.90,358,36.59,1.04,7.96,4.68,11
context_signal_quality,行情背景 + 信号K质量,LQD,100000.00,118337.84,18337.84,18.34,312,40.71,1.20,8.18,4.58,11
context_signal_quality,行情背景 + 信号K质量,EEM,100000.00,106770.20,6770.20,6.77,288,38.89,1.08,8.27,4.17,10
context_signal_quality,行情背景 + 信号K质量,EFA,100000.00,124088.38,24088.38,24.09,274,43.07,1.31,5.08,4.65,7
context_signal_quality,行情背景 + 信号K质量,ARKK,100000.00,119207.38,19207.38,19.21,271,41.70,1.25,4.26,5.39,9
context_signal_quality,行情背景 + 信号K质量,AAPL,100000.00,131722.81,31722.81,31.72,338,41.42,1.32,3.94,4.91,10
context_signal_quality,行情背景 + 信号K质量,MSFT,100000.00,87741.34,-12258.66,-12.26,269,31.97,0.86,20.66,5.03,12
context_signal_quality,行情背景 + 信号K质量,NVDA,100000.00,114429.43,14429.43,14.43,313,37.70,1.15,11.14,4.89,10
context_signal_quality,行情背景 + 信号K质量,AMZN,100000.00,114353.87,14353.87,14.35,316,37.97,1.15,6.65,5.27,11
context_signal_quality,行情背景 + 信号K质量,GOOGL,100000.00,96057.66,-3942.34,-3.94,303,33.66,0.96,15.40,5.31,14
context_signal_quality,行情背景 + 信号K质量,GOOG,100000.00,94993.86,-5006.14,-5.01,235,33.62,0.94,11.19,5.09,12
context_signal_quality,行情背景 + 信号K质量,META,100000.00,83852.73,-16147.27,-16.15,236,30.51,0.80,23.23,5.49,14
context_signal_quality,行情背景 + 信号K质量,TSLA,100000.00,92756.19,-7243.81,-7.24,296,32.77,0.93,15.75,5.27,13
context_signal_quality,行情背景 + 信号K质量,AVGO,100000.00,76050.86,-23949.14,-23.95,289,30.10,0.76,26.33,4.98,13
context_signal_quality,行情背景 + 信号K质量,AMD,100000.00,110603.58,10603.58,10.60,296,36.82,1.12,7.27,5.46,9
context_signal_quality,行情背景 + 信号K质量,INTC,100000.00,114755.16,14755.16,14.76,282,39.01,1.17,9.52,5.14,10
context_signal_quality,行情背景 + 信号K质量,MU,100000.00,103722.29,3722.29,3.72,275,36.36,1.04,14.05,5.12,9
context_signal_quality,行情背景 + 信号K质量,QCOM,100000.00,95382.62,-4617.38,-4.62,274,35.04,0.95,18.37,5.32,10
context_signal_quality,行情背景 + 信号K质量,ORCL,100000.00,106618.42,6618.42,6.62,276,36.96,1.08,9.53,5.25,12
context_signal_quality,行情背景 + 信号K质量,CRM,100000.00,69718.23,-30281.77,-30.28,273,27.47,0.69,37.03,5.36,11
context_signal_quality,行情背景 + 信号K质量,ADBE,100000.00,105323.67,5323.67,5.32,325,36.31,1.05,6.83,5.48,11
context_signal_quality,行情背景 + 信号K质量,NOW,100000.00,100067.48,67.48,0.07,248,33.47,1.00,8.49,5.26,8
context_signal_quality,行情背景 + 信号K质量,SNOW,100000.00,94297.93,-5702.07,-5.70,99,31.31,0.83,10.29,5.28,8
context_signal_quality,行情背景 + 信号K质量,PLTR,100000.00,97611.49,-2388.51,-2.39,111,34.23,0.93,9.95,5.44,8
context_signal_quality,行情背景 + 信号K质量,PANW,100000.00,120585.20,20585.20,20.59,236,41.10,1.30,6.25,5.81,7
full_v02,完整多来源增强版,SPY,100000.00,93204.54,-6795.46,-6.80,83,30.12,0.76,10.63,8.98,12
full_v02,完整多来源增强版,QQQ,100000.00,97766.39,-2233.61,-2.23,99,35.35,0.93,8.76,9.27,9
full_v02,完整多来源增强版,IWM,100000.00,88968.91,-11031.09,-11.03,71,22.54,0.55,13.10,10.00,11
