trade_id,session_key,split,direction,filter_state,breakout_timestamp,follow_through_timestamp,entry_timestamp,exit_timestamp,time_bucket,raw_entry_price,executed_entry_price,stop_price,target_price,exit_price,executed_exit_price,risk_per_share,quantity,pnl_per_share,pnl_cash,pnl_r,equity_after_close,exit_reason
PA-SC-002-2026-03-19-02,2026-03-19,in_sample,short,neutral,2026-03-19T13:00:00-04:00,2026-03-19T13:05:00-04:00,2026-03-19T13:10:00-04:00,2026-03-19T13:20:00-04:00,midday_1100_1330,655.8400,655.7644,657.3650,654.3150,657.3650,657.4407,1.5250,38,-1.6763,-63.6994,-1.0992,24937.2170,stop_hit
PA-SC-002-2026-03-19-03,2026-03-19,in_sample,long,trend_supportive,2026-03-19T14:10:00-04:00,2026-03-19T14:15:00-04:00,2026-03-19T14:20:00-04:00,2026-03-19T14:25:00-04:00,late_1330_1600,658.1900,658.2658,657.2550,659.1250,657.2550,657.1793,0.9350,37,-1.0865,-40.2005,-1.1620,24897.0165,stop_hit
PA-SC-002-2026-03-20-01,2026-03-20,validation,short,neutral,2026-03-20T13:30:00-04:00,2026-03-20T13:40:00-04:00,2026-03-20T13:45:00-04:00,2026-03-20T14:20:00-04:00,late_1330_1600,651.1400,651.0649,652.3800,649.9000,649.9000,649.9750,1.2400,38,1.0899,41.4162,0.8790,24938.4327,target_hit
PA-SC-002-2026-03-20-02,2026-03-20,validation,short,neutral,2026-03-20T14:35:00-04:00,2026-03-20T14:40:00-04:00,2026-03-20T14:45:00-04:00,2026-03-20T15:20:00-04:00,late_1330_1600,648.1600,648.0852,649.1031,647.2169,647.2169,647.2916,0.9431,38,0.7936,30.1568,0.8415,24968.5895,target_hit
PA-SC-002-2026-03-23-01,2026-03-23,validation,long,trend_supportive,2026-03-23T10:15:00-04:00,2026-03-23T10:20:00-04:00,2026-03-23T10:25:00-04:00,2026-03-23T10:45:00-04:00,open_0930_1100,661.7900,661.8662,660.0800,663.5000,660.0800,660.0040,1.7100,37,-1.8622,-68.9014,-1.0890,24899.6881,stop_hit
PA-SC-002-2026-03-23-02,2026-03-23,validation,short,trend_supportive,2026-03-23T11:50:00-04:00,2026-03-23T11:55:00-04:00,2026-03-23T12:00:00-04:00,2026-03-23T14:35:00-04:00,midday_1100_1330,655.9900,655.9144,659.0100,652.9700,659.0100,659.0859,3.0200,33,-3.1715,-104.6595,-1.0502,24795.0286,stop_hit
PA-SC-002-2026-03-23-03,2026-03-23,validation,short,neutral,2026-03-23T15:10:00-04:00,2026-03-23T15:15:00-04:00,2026-03-23T15:20:00-04:00,2026-03-23T15:50:00-04:00,late_1330_1600,657.8600,657.7842,658.7900,656.9300,656.9300,657.0057,0.9300,37,0.7785,28.8045,0.8371,24823.8331,target_hit
PA-SC-002-2026-03-24-01,2026-03-24,validation,short,neutral,2026-03-24T13:00:00-04:00,2026-03-24T13:05:00-04:00,2026-03-24T13:10:00-04:00,2026-03-24T14:30:00-04:00,midday_1100_1330,653.0300,652.9547,655.4000,650.6600,655.4000,655.4755,2.3700,38,-2.5208,-95.7904,-1.0636,24728.0427,stop_hit
PA-SC-002-2026-03-24-02,2026-03-24,validation,short,neutral,2026-03-24T15:30:00-04:00,2026-03-24T15:40:00-04:00,2026-03-24T15:45:00-04:00,2026-03-24T15:50:00-04:00,late_1330_1600,653.8200,653.7446,654.7850,652.8550,652.8550,652.9303,0.9650,37,0.8143,30.1291,0.8438,24758.1718,target_hit
PA-SC-002-2026-03-26-01,2026-03-26,validation,short,trend_supportive,2026-03-26T12:25:00-04:00,2026-03-26T12:35:00-04:00,2026-03-26T12:40:00-04:00,2026-03-26T13:40:00-04:00,midday_1100_1330,649.1200,649.0451,650.4400,647.8000,647.8000,647.8748,1.3200,38,1.1703,44.4714,0.8866,24802.6432,target_hit
PA-SC-002-2026-03-26-02,2026-03-26,validation,short,trend_supportive,2026-03-26T13:50:00-04:00,2026-03-26T13:55:00-04:00,2026-03-26T14:00:00-04:00,2026-03-26T14:50:00-04:00,late_1330_1600,646.6550,646.5803,647.5900,645.7200,647.5900,647.6648,0.9350,38,-1.0845,-41.2110,-1.1599,24761.4322,stop_hit
PA-SC-002-2026-03-26-03,2026-03-26,validation,short,neutral,2026-03-26T15:30:00-04:00,2026-03-26T15:35:00-04:00,2026-03-26T15:40:00-04:00,2026-03-26T15:45:00-04:00,late_1330_1600,645.8300,645.7554,646.2800,645.3800,645.3800,645.4545,0.4500,38,0.3009,11.4342,0.6687,24772.8664,target_hit
