grain,strategy_id,timeframe,symbol,cost_tier,account_count,initial_capital,final_equity,net_profit,return_percent,trade_count,win_rate,profit_factor,max_drawdown,max_drawdown_percent,max_consecutive_losses,average_win,average_loss,average_holding_bars,best_symbol,worst_symbol,best_timeframe,worst_timeframe,quality_flag,status
strategy_timeframe_symbol,M10-PA-008,1d,SPY,stress_low,1,100000.00,95276.87,-4723.13,-4.7231,77,0.2987,0.8217,7414.80,7.4148,8,946.12,-490.44,170.6633,SPY,SPY,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1d,TSLA,baseline,1,100000.00,106016.46,6016.46,6.0165,74,0.3919,1.2680,3960.01,3.9600,6,981.60,-498.89,220.1829,TSLA,TSLA,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1d,TSLA,stress_high,1,100000.00,105677.15,5677.15,5.6772,74,0.3919,1.2510,4019.81,4.0198,6,975.72,-502.64,220.1829,TSLA,TSLA,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1d,TSLA,stress_low,1,100000.00,105931.53,5931.53,5.9315,74,0.3919,1.2637,3974.96,3.9750,6,980.13,-499.83,220.1829,TSLA,TSLA,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1h,NVDA,baseline,1,100000.00,93514.55,-6485.45,-6.4855,57,0.2456,0.6869,12472.53,12.4725,22,1016.25,-481.70,523.4386,NVDA,NVDA,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1h,NVDA,stress_high,1,100000.00,92785.60,-7214.40,-7.2144,57,0.2456,0.6607,12915.70,12.9157,22,1003.46,-494.49,523.4386,NVDA,NVDA,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1h,NVDA,stress_low,1,100000.00,93331.79,-6668.21,-6.6682,57,0.2456,0.6802,12583.78,12.5838,22,1013.05,-484.91,523.4386,NVDA,NVDA,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1h,QQQ,baseline,1,100000.00,106736.39,6736.39,6.7364,59,0.4068,1.3651,3983.42,3.9834,5,1049.38,-527.11,175.1525,QQQ,QQQ,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1h,QQQ,stress_high,1,100000.00,104842.77,4842.77,4.8428,59,0.4068,1.2496,4924.35,4.9244,5,1010.17,-554.33,175.1525,QQQ,QQQ,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1h,QQQ,stress_low,1,100000.00,106259.87,6259.87,6.2599,59,0.4068,1.3350,4221.03,4.2210,5,1039.53,-533.97,175.1525,QQQ,QQQ,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1h,SPY,baseline,1,100000.00,108522.46,8522.46,8.5225,53,0.4528,1.5503,3703.49,3.7035,7,1000.36,-534.00,223.1887,SPY,SPY,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1h,SPY,stress_high,1,100000.00,106187.90,6187.90,6.1879,53,0.4528,1.3745,4013.78,4.0138,7,946.29,-569.76,223.1887,SPY,SPY,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1h,SPY,stress_low,1,100000.00,107934.17,7934.17,7.9342,53,0.4528,1.5038,3782.13,3.7821,7,986.74,-543.02,223.1887,SPY,SPY,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1h,TSLA,baseline,1,100000.00,105895.53,5895.53,5.8955,54,0.4074,1.3497,4872.51,4.8725,8,1034.38,-526.90,298.8519,TSLA,TSLA,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1h,TSLA,stress_high,1,100000.00,105378.70,5378.70,5.3787,54,0.4074,1.3138,5015.22,5.0152,8,1023.60,-535.64,298.8519,TSLA,TSLA,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,1h,TSLA,stress_low,1,100000.00,105766.09,5766.09,5.7661,54,0.4074,1.3406,4908.31,4.9083,8,1031.68,-529.09,298.8519,TSLA,TSLA,1h,1h,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,5m,NVDA,baseline,1,100000.00,113465.65,13465.65,13.4657,735,0.3619,1.0575,13357.26,13.3573,13,930.34,-498.95,239.9303,NVDA,NVDA,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,5m,NVDA,stress_high,1,100000.00,74583.37,-25416.63,-25.4166,735,0.3619,0.8819,27977.01,27.9770,13,713.62,-458.93,239.9303,NVDA,NVDA,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,5m,NVDA,stress_low,1,100000.00,102169.22,2169.22,2.1692,735,0.3619,1.0095,14328.06,14.3281,13,869.77,-488.68,239.9303,NVDA,NVDA,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,5m,QQQ,baseline,1,100000.00,83193.44,-16806.56,-16.8066,742,0.3288,0.8762,19054.25,19.0543,14,487.56,-272.63,215.7863,QQQ,QQQ,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,5m,QQQ,stress_high,1,100000.00,47637.81,-52362.19,-52.3622,742,0.3288,0.5993,52362.19,52.3622,14,320.96,-262.40,215.7863,QQQ,QQQ,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,5m,QQQ,stress_low,1,100000.00,72372.28,-27627.72,-27.6277,742,0.3288,0.7950,28054.53,28.0545,14,439.00,-270.57,215.7863,QQQ,QQQ,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,5m,SPY,baseline,1,100000.00,94758.65,-5241.35,-5.2414,714,0.3529,0.9571,9901.88,9.9019,12,464.11,-264.50,206.1639,SPY,SPY,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,5m,SPY,stress_high,1,100000.00,54518.81,-45481.19,-45.4812,714,0.3515,0.6221,46448.46,46.4485,12,298.34,-259.96,206.1639,SPY,SPY,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,5m,SPY,stress_low,1,100000.00,82531.25,-17468.75,-17.4688,714,0.3529,0.8570,18859.85,18.8599,12,415.56,-264.48,206.1639,SPY,SPY,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,5m,TSLA,baseline,1,100000.00,134401.77,34401.77,34.4018,726,0.3678,1.1314,11764.40,11.7644,12,1109.35,-570.36,256.5050,TSLA,TSLA,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,5m,TSLA,stress_high,1,100000.00,93514.13,-6485.87,-6.4859,726,0.3678,0.9732,13039.82,13.0398,12,881.19,-526.72,256.5050,TSLA,TSLA,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-008,5m,TSLA,stress_low,1,100000.00,122752.92,22752.92,22.7529,726,0.3678,1.0886,11701.75,11.7018,12,1046.50,-559.18,256.5050,TSLA,TSLA,5m,5m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,15m,NVDA,baseline,1,100000.00,103211.66,3211.66,3.2117,215,0.3395,1.0448,12869.82,12.8698,11,1024.98,-504.31,189.1442,NVDA,NVDA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,15m,NVDA,stress_high,1,100000.00,94191.37,-5808.63,-5.8086,215,0.3395,0.9227,17899.61,17.8996,11,949.55,-529.05,189.1442,NVDA,NVDA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,15m,NVDA,stress_low,1,100000.00,100879.16,879.16,0.8792,215,0.3395,1.0121,13891.12,13.8911,11,1005.63,-510.79,189.1442,NVDA,NVDA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,15m,QQQ,baseline,1,100000.00,110172.33,10172.33,10.1723,229,0.3581,1.1763,7544.91,7.5449,14,827.58,-392.44,181.8428,QQQ,QQQ,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,15m,QQQ,stress_high,1,100000.00,94495.29,-5504.71,-5.5047,229,0.3537,0.9137,10605.74,10.6057,14,719.22,-430.82,181.8428,QQQ,QQQ,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,15m,QQQ,stress_low,1,100000.00,106025.78,6025.78,6.0258,229,0.3581,1.1016,8005.97,8.0060,14,796.85,-403.51,181.8428,QQQ,QQQ,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,15m,SPY,baseline,1,100000.00,102842.05,2842.05,2.8421,231,0.3247,1.0620,5346.13,5.3461,13,648.96,-293.78,148.9654,SPY,SPY,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,15m,SPY,stress_high,1,100000.00,86883.30,-13116.70,-13.1167,231,0.3160,0.7524,16153.14,16.1531,13,546.10,-335.33,148.9654,SPY,SPY,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,15m,SPY,stress_low,1,100000.00,98597.83,-1402.17,-1.4022,231,0.3247,0.9706,5593.37,5.5934,13,617.79,-306.00,148.9654,SPY,SPY,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,15m,TSLA,baseline,1,100000.00,120669.40,20669.40,20.6694,226,0.3982,1.2951,5815.45,5.8155,8,1007.79,-514.94,234.2478,TSLA,TSLA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-009,15m,TSLA,stress_high,1,100000.00,111285.14,11285.14,11.2851,226,0.3938,1.1559,6378.64,6.3786,8,940.16,-528.39,234.2478,TSLA,TSLA,15m,15m,normal_density_review,completed_capital_test
