grain,strategy_id,timeframe,symbol,cost_tier,account_count,initial_capital,final_equity,net_profit,return_percent,trade_count,win_rate,profit_factor,max_drawdown,max_drawdown_percent,max_consecutive_losses,average_win,average_loss,average_holding_bars,best_symbol,worst_symbol,best_timeframe,worst_timeframe,quality_flag,status
strategy_timeframe_symbol,M10-PA-002,15m,QQQ,baseline,1,100000.00,89259.22,-10740.78,-10.7408,937,0.3533,0.9432,26015.62,26.0156,19,538.64,-311.93,82.0376,QQQ,QQQ,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-002,15m,QQQ,stress_high,1,100000.00,45095.67,-54904.33,-54.9043,937,0.3511,0.6741,58032.10,58.0321,19,345.20,-277.10,82.0376,QQQ,QQQ,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-002,15m,QQQ,stress_low,1,100000.00,75256.60,-24743.40,-24.7434,937,0.3533,0.8653,34836.92,34.8369,19,480.27,-303.16,82.0376,QQQ,QQQ,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-002,15m,SPY,baseline,1,100000.00,105000.51,5000.51,5.0005,947,0.3706,1.0319,11478.52,11.4785,16,460.50,-262.81,82.3478,SPY,SPY,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-002,15m,SPY,stress_high,1,100000.00,50809.62,-49190.38,-49.1904,947,0.3590,0.6584,51405.66,51.4057,16,278.81,-237.21,82.3478,SPY,SPY,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-002,15m,SPY,stress_low,1,100000.00,87579.63,-12420.37,-12.4204,947,0.3696,0.9192,19941.76,19.9418,16,403.53,-257.38,82.3478,SPY,SPY,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-002,15m,TSLA,baseline,1,100000.00,151218.15,51218.15,51.2182,891,0.3749,1.1514,21376.37,21.3764,16,1165.92,-607.18,96.9868,TSLA,TSLA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-002,15m,TSLA,stress_high,1,100000.00,105864.96,5864.96,5.8650,891,0.3749,1.0192,28058.54,28.0585,16,932.75,-548.78,96.9868,TSLA,TSLA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-002,15m,TSLA,stress_low,1,100000.00,138324.36,38324.36,38.3244,891,0.3749,1.1162,23116.56,23.1166,16,1101.83,-591.90,96.9868,TSLA,TSLA,15m,15m,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-002,1d,NVDA,baseline,1,100000.00,115867.39,15867.39,15.8674,266,0.3722,1.1786,12063.34,12.0633,9,1057.89,-532.12,43.2244,NVDA,NVDA,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-002,1d,NVDA,stress_high,1,100000.00,111666.57,11666.57,11.6666,266,0.3722,1.1299,12899.03,12.8990,9,1024.76,-537.63,43.2244,NVDA,NVDA,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-002,1d,NVDA,stress_low,1,100000.00,114802.70,14802.70,14.8027,266,0.3722,1.1661,12273.26,12.2733,9,1049.51,-533.53,43.2244,NVDA,NVDA,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-002,1d,QQQ,baseline,1,100000.00,100111.35,111.35,0.1114,345,0.3362,1.0009,14710.57,14.7106,14,1019.21,-515.79,38.7322,QQQ,QQQ,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-002,1d,QQQ,stress_high,1,100000.00,88629.59,-11370.41,-11.3704,345,0.3362,0.9041,17353.37,17.3534,14,923.91,-517.66,38.7322,QQQ,QQQ,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-002,1d,QQQ,stress_low,1,100000.00,97109.02,-2890.98,-2.8910,345,0.3362,0.9756,15436.56,15.4366,14,994.55,-516.41,38.7322,QQQ,QQQ,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-002,1d,SPY,baseline,1,100000.00,97546.07,-2453.93,-2.4539,327,0.3394,0.9749,16366.25,16.3663,11,858.91,-452.75,39.1019,SPY,SPY,1d,1d,normal_density_review,completed_capital_test
strategy_timeframe_symbol,M10-PA-002,1d,SPY,stress_high,1,100000.00,84632.64,-15367.36,-15.3674,327,0.3394,0.8452,19349.48,19.3495,11,756.01,-459.65,39.1019,SPY,SPY,1d,1d,normal_density_review,completed_capital_test
